Fecha,Severidad del Problema,Problema,Empresa,RANCHO,Punto de rocío (ºC),Punto de rocío Maximo (°C),Hora de registro de velocidad máxima de viento,Viento (km/h),Ráfaga de viento (km/h),Temperatura Promedio (ºC),Humedad Promedio (%),ETO (mm),Joules Acumulados,Horas Frío Efectivas,Lluvia (mm),Horas luz
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Escarabajo colops (Collops spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS CONVENCIONAL,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Bemisia spp. (Mosca blanca ),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,ALAMOS II,24.0,28.0,,14.5,19.3,30.6,78.6,4.43,2155.0,0.0,0.0,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Chinche asesina (Reduviidae),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Chinche asesina (Reduviidae),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Mosca psyrphidea (Psyrphidea),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Daño,Abejas,Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Daño,Abejas,Sino A,CEDROS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,ENCINOS ORGANICO,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Bemisia spp. (Mosca blanca ),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Bemisia spp. (Mosca blanca ),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Barrenador del tallo,Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Catarina (Coccinellidea),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,NARANJOS,,,,,,,,,,,,
9/15/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,NARANJOS,,,,,,,,,,,,
9/16/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,PALMAS,,,,,,,,,,,,
9/16/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
